Redshift,Distance
0.298,1090.0
0.23,874.0
0.331,1190.0
0.307,1120.0
0.111,449.0
0.573,1820.0
0.252,947.0
0.2,772.0
0.553,1770.0
0.271,1010.0
0.258,966.0
0.28,1040.0
0.295,1080.0
0.537,1740.0
0.494,1630.0
0.102,415.0
0.315,1140.0
0.246,927.0
0.406,1410.0
0.361,1280.0
0.286,1060.0
0.413,1420.0
0.157,620.0
0.143,569.0
0.27,1000.0
0.528,1710.0
7.36,4160.0
5.61,4090.0
9.01,4200.0
6.97,4150.0
3.49,3880.0
3.47,3870.0
2.22,3530.0
1.86,3350.0
2.77,3720.0
3.0,3780.0
3.98,3950.0
3.9,3940.0
4.73,4030.0
4.7,4030.0
2.16,3500.0
2.34,3580.0
2.76,3720.0
2.85,3740.0
1.74,3280.0
4.19,3980.0
4.11,3970.0
2.88,3750.0
6.04,4110.0
7.07,4150.0
9.83,4210.0
4.86,4040.0
4.62,4020.0
8.72,4190.0
3.38,3860.0
2.1,3480.0
1.47,3080.0
1.39,3010.0
2.11,3480.0
1.81,3320.0
4.96,4050.0
4.31,3990.0
1.75,3280.0
1.8,3310.0
5.49,4080.0
6.65,4140.0
0.416,1430.0
0.569,1810.0
0.423,1450.0
0.259,969.0
1.29,2910.0
0.378,1330.0
0.241,911.0
0.219,837.0
0.183,713.0
0.45,1520.0
0.301,1100.0
0.32,1160.0
2.7,3700.0
0.269,1000.0
0.309,1130.0
0.476,1590.0
0.318,1150.0
0.083,341.0
0.16,622.0
0.31,1110.0
0.193,748.0
0.266,992.0
0.238,901.0
0.445,1510.0
0.175,685.0
0.283,1050.0
0.461,1550.0
0.109,442.0
0.317,1150.0
0.132,528.0
0.353,1260.0
0.17,667.0
0.279,1030.0
0.429,1470.0
0.471,1580.0
0.347,1240.0
0.697,2080.0
0.245,924.0
0.482,1600.0
0.225,857.0
0.47,1550.0
0.316,1150.0
1.45,3060.0
0.428,1460.0
0.287,1060.0
0.34,1220.0
0.12,483.0
0.609,1900.0
0.288,1060.0
0.339,1220.0
0.24,907.0
0.154,609.0
2.81,3730.0
0.216,827.0
0.028,118.0
0.555,1780.0
0.81,2280.0
0.02,0.676
0.008,0.705
0.008,0.748
0.02,0.752
0.02,0.762
0.008,0.766
0.02,0.766
0.008,0.794
0.02,0.809
0.008,0.809
0.008,0.817
0.02,0.839
0.02,0.871
0.008,0.883
0.02,0.964
0.451,1520.0
0.265,989.0
0.39,1360.0
0.203,783.0
0.304,1110.0
0.243,917.0
0.593,1860.0
0.373,1310.0
0.374,1320.0
0.539,1740.0
0.399,1390.0
0.346,1240.0
0.498,1640.0
0.325,1170.0
0.314,1140.0
0.514,1680.0
0.05,209.0
0.023,97.4
0.144,573.0
0.272,1010.0
0.323,1170.0
0.671,2020.0
0.242,914.0
1.31,2930.0
0.395,1380.0
0.3,1100.0
0.441,1500.0
0.484,1610.0
0.274,1020.0
0.52,1700.0
0.202,779.0
0.091,372.0
0.341,1220.0
0.141,562.0
0.358,1270.0
0.649,1980.0
0.365,1290.0
0.564,1800.0
0.385,1350.0
0.7,2080.0
0.372,1310.0
0.267,995.0
0.313,1140.0
0.324,1170.0
0.277,1030.0
0.257,963.0
0.422,1450.0
0.396,1380.0
0.296,1090.0
0.384,1340.0
0.085,349.0
0.398,1380.0
0.435,1480.0
0.299,1100.0
0.185,720.0
0.293,1080.0
0.397,1380.0
0.694,2070.0
0.284,1050.0
0.285,1050.0
0.276,1020.0
0.536,1730.0
0.026,110.0
0.196,758.0
0.251,943.0
0.663,2010.0
0.178,695.0
0.645,1970.0
0.248,934.0
0.155,613.0
0.13,521.0
0.254,953.0
0.187,727.0
0.527,1710.0
0.088,360.0
0.407,1410.0
0.675,2030.0
0.161,635.0
0.291,1070.0
0.263,982.0
0.177,692.0
0.089,364.0
0.417,1440.0
0.229,871.0
0.214,820.0
0.053,221.0
0.554,1770.0
0.124,498.0
0.568,1810.0
0.587,1850.0
0.08,329.0
0.328,1180.0
0.237,897.0
0.392,1370.0
0.068,281.0
0.389,1360.0
0.14,558.0
0.212,813.0
0.686,2050.0
0.165,649.0
0.226,861.0
0.308,1120.0
0.55,1770.0
0.459,1550.0
0.442,1500.0
0.477,1590.0
0.268,998.0
0.186,724.0
0.147,584.0
0.305,1110.0
0.037,156.0
0.106,430.0
0.5,1650.0
0.239,904.0
0.168,660.0
0.126,506.0
0.176,688.0
0.37,1310.0
0.699,2080.0
0.387,1350.0
0.282,1040.0
0.113,457.0
0.184,717.0
0.119,480.0
0.281,1040.0
0.218,834.0
0.518,1690.0
0.473,1580.0
0.515,1680.0
0.26,973.0
0.262,979.0
0.383,1340.0
0.626,1930.0
0.171,671.0
0.249,937.0
0.615,1910.0
0.294,1080.0
0.064,265.0
0.46,1550.0
0.595,1870.0
0.466,1560.0
0.021,89.0
0.486,1610.0
0.499,1640.0
0.087,356.0
0.116,468.0
0.149,591.0
0.472,1580.0
0.355,1260.0
0.042,176.0
0.359,1270.0
0.127,510.0
0.444,1510.0
0.376,1320.0
0.222,847.0
0.613,1900.0
0.493,1630.0
0.303,1110.0
0.319,1160.0
0.622,1920.0
0.455,1530.0
0.345,1230.0
0.289,1060.0
0.67,2020.0
0.066,273.0
0.35,1250.0
0.41,1420.0
0.379,1330.0
0.47,1570.0
0.264,985.0
0.391,1360.0
0.244,920.0
0.561,1790.0
0.352,1250.0
0.394,1370.0
0.275,1020.0
0.465,1560.0
0.02,84.8
0.198,765.0
0.601,1880.0
0.322,1170.0
0.583,1840.0
0.452,1530.0
0.388,1360.0
0.606,1890.0
0.247,930.0
0.333,1200.0
6.1,4120.0
0.487,1620.0
0.38,1330.0
0.652,1990.0
0.067,277.0
0.357,1270.0
0.525,1710.0
0.099,403.0
0.651,1980.0
0.402,1390.0
0.167,656.0
0.381,1340.0
0.227,864.0
0.19,738.0
0.437,1490.0
0.115,464.0
0.205,790.0
0.312,1140.0
0.502,1650.0
0.403,1400.0
0.363,1290.0
0.404,1400.0
0.463,1560.0
0.137,547.0
0.344,1230.0
0.513,1680.0
0.535,1730.0
0.343,1230.0
0.522,1700.0
0.182,710.0
0.562,1790.0
0.424,1450.0
0.468,1570.0
0.197,762.0
0.231,877.0
0.15,595.0
0.056,233.0
0.338,1210.0
0.354,1260.0
0.012,51.1
14.0,4240.0
0.572,1820.0
0.335,1200.0
0.235,891.0
0.332,1200.0
0.221,844.0
0.602,1880.0
0.366,1290.0
0.158,624.0
0.215,824.0
0.547,1760.0
0.483,1610.0
0.369,1300.0
0.337,1210.0
0.458,1540.0
0.612,1900.0
0.368,1300.0
0.321,1160.0
0.512,1680.0
0.6,1880.0
0.273,1010.0
0.082,337.0
0.228,867.0
0.163,642.0
0.292,1070.0
0.129,517.0
0.33,1190.0
0.88,2390.0
0.56,1790.0
0.175,675.0
0.4,1390.0
0.16,631.0
0.01,0.0461
0.012,0.0483
0.008,0.0483
0.012,0.0488
0.016,0.0506
0.016,0.0511
1.78,3300.0
3.05,3790.0
6.06,4110.0
7.3,4160.0
2.3,3560.0
1.95,3400.0
10.8,4220.0
0.69,2060.0
1.92,3380.0
0.86,2360.0
2.67,3690.0
0.33,1170.0
2.99,3780.0
3.81,3930.0
0.57,1810.0
3.43,3870.0
2.28,3550.0
1.1,2700.0
0.75,2170.0
1.44,3050.0
3.56,3890.0
1.61,3190.0
1.52,3120.0
0.71,2100.0
2.26,3160.0
1.8,2880.0
5.88,4110.0
0.1,407.0
2.9,3750.0
1.13,2740.0
3.93,3940.0
1.49,3090.0
0.61,1900.0
1.46,3070.0
1.18,2790.0
0.485,1610.0
0.497,1640.0
0.51,1670.0
0.49,1620.0
2.53,3650.0
0.36,1280.0
9.5,4210.0
0.14,560.0
1.37,2990.0
0.18,702.0
1.79,3310.0
0.191,741.0
0.074,305.0
0.236,894.0
0.22,841.0
0.234,887.0
1.21,2830.0
0.233,884.0
3.03,3790.0
0.53,1720.0
0.95,2500.0
0.224,854.0
2.36,3590.0
0.625,1930.0
0.169,663.0
0.195,755.0
0.687,2060.0
0.495,1640.0
0.43,1470.0
0.691,2060.0
0.201,776.0
0.9,2420.0
0.062,257.0
0.223,851.0
0.409,1410.0
0.123,495.0
1.38,3000.0
0.348,1240.0
0.022,93.2
0.449,1520.0
0.297,1090.0
0.453,1530.0
0.125,502.0
0.174,681.0
0.64,1960.0
0.29,1070.0
0.462,1550.0
0.542,1750.0
0.447,1510.0
0.302,1100.0
0.206,793.0
0.329,1190.0
1.34,2960.0
0.166,653.0
0.59,1850.0
0.194,752.0
0.153,606.0
0.575,1820.0
0.548,1760.0
0.327,1180.0
0.148,587.0
0.118,476.0
0.208,800.0
0.574,1820.0
0.448,1520.0
0.311,1130.0
0.524,1700.0
0.401,1390.0
0.101,411.0
0.507,1660.0
0.672,2030.0
0.135,539.0
0.582,1840.0
0.189,734.0
0.256,960.0
0.162,638.0
0.591,1860.0
3.69,3910.0
0.65,1980.0
0.253,950.0
0.655,1990.0
0.386,1350.0
0.188,731.0
0.31,1130.0
0.326,1180.0
0.669,2020.0
0.62,1920.0
0.072,297.0
0.438,1490.0
0.364,1290.0
0.685,2050.0
0.44,1500.0
0.092,376.0
0.642,1970.0
0.278,1030.0
0.415,1430.0
4.2,3980.0
3.22,3830.0
1.11,2710.0
0.505,1660.0
0.152,602.0
0.306,1120.0
0.454,1530.0
0.488,1620.0
0.025,106.0
0.25,940.0
0.139,554.0
0.408,1410.0
0.054,225.0
0.136,543.0
0.427,1460.0
0.521,1700.0
0.688,2060.0
0.571,1810.0
0.035,147.0
